"","","Feb-02","Feb-09","Feb-16","Feb-23","Mar-01","Mar-08","Mar-15","Mar-22","Mar-29","Apr-05","Apr-12","Apr-19","Apr-26","May-03","May-10","May-17","May-24","May-31","Jun-07","Jun-14","Jun-21","Jun-28","Jul-05","Jul-12","Jul-19","Jul-26","Aug-02","Aug-09","Aug-16","Aug-23","Aug-30","Sep-06","Sep-13","Sep-20","Sep-27","Oct-04","Oct-11","Oct-18","Oct-25","Nov-01","Nov-08","Nov-15","Nov-22","Nov-29","Dec-06","Dec-13","Dec-20","Dec-27","Jan-03","Jan-10","Jan-17","Jan-24","Jan-31","Feb-07","Feb-14"
"Auckland","","0.9","-1.1","-1.1","0.7","0.4","0.3","-1.2","8.3","-27.1","-59.8","-60.8","-62.2","-57.1","-47.3","-43.5","-17.9","-2.5","-4.3","-2.7","-0.1","-3.4","-3.6","-0.5","-1.7","0.6","-1.2","-2.2","-1","-25.8","-43.3","-41.1","2.9","-4.1","-7.3","-5.5","-5","-2.5","-3.2","-4.7","-3.6","-7.9","-5.9","-7.5","-7.5","-9.1","-6.6","-5.5","-0.9","-5.7","-4.7","-5.3","-8","-4","-9.3","-6.7"
"Bay of Plenty","","1.5","3.7","-1.4","1","5.3","3.2","3.7","9.3","-18.9","-51.4","-52.4","-55.1","-54.2","-37.6","-33","-3.8","10.5","12","4.4","10.7","3.6","3","7.3","7.9","7.5","5.8","4.6","5","14.4","-2.9","0.1","7.5","3.9","1.5","2.5","5.8","6.4","1.8","5.1","-3.5","-5.7","-1.2","-1.4","-5.3","-4.7","-0.8","-3.1","0.9","-5.6","-2.4","-0.8","-7.7","0.3","-2.9","-7.1"
"Canterbury","","0.7","-0.7","-1.8","0.6","1.5","1.4","6.1","12.7","-21.8","-53","-53.2","-53.7","-49.1","-40","-36.1","-10.9","2.7","2","1.1","5.8","2.7","1.3","2.3","2.1","6.9","4.2","2.4","2.5","9.3","-2.8","-1.2","4.2","0.8","1.1","2.9","2.9","1.2","-0.3","1.6","-4","-5.4","-5.2","-2.8","-5.9","-8.6","-5","-6.3","-2.8","-8.8","-6.5","-7.1","-7.7","-6.8","-7.4","-10.4"
"Gisborne","","7","7.1","2.8","5.8","7.2","7.6","6.5","15.4","-1.9","-39.1","-39","-41.3","-42","-23.1","-22.3","-2.4","7.3","7.2","6.6","12.2","8.7","5.8","2.8","4.6","4.5","4.5","6","3.8","11.4","0.3","2.6","6.5","4.8","5.6","8.9","6.3","4.7","4","11.3","-1.3","0.6","-1","1.2","-2.1","-1.4","2.4","-0.6","8.1","-2.7","1.9","3.7","0.8","5.1","0","-0.2"
"Hawke's Bay","","6.8","3.6","5.4","4","6.6","3.3","6.2","16","-10.7","-44.1","-46.9","-45.5","-44.6","-30.8","-27.3","-6.2","5.9","9.8","5.8","7.9","8.8","7.5","7.5","10.1","6.6","8.9","7.4","6.9","17.5","4.9","5.9","9.9","9.9","7.9","8","9","9.2","9.5","8.1","3.9","1.8","1.9","1","0.1","0.4","5.4","3.3","6.4","-1.5","3.5","4.5","4.7","3.9","-6.2","-1.5"
"Manawatu-Wanganui","","3.5","5","4.8","3.5","5.6","5.8","4.4","15.3","-10.7","-45.4","-47.6","-49.1","-45.2","-31.7","-27.3","-1.8","13.3","11.2","7.9","11.2","6.6","7","7.7","8.6","10.2","8.7","8.4","8.7","17.1","1.4","3","7","6.3","2.7","5.5","7.6","4.8","4.2","9.7","2.6","2.5","3.8","4.9","-0.1","-0.8","0.1","3.7","7","1.6","2.3","2.5","0.8","3.3","6.4","-1.4"
"Marlborough","","2.9","6.6","1.8","3.3","6.4","2.9","8.2","13.5","-17.7","-55.8","-55.6","-59.9","-57.6","-38","-30.4","-6.6","7.1","10","7.2","10.7","10.1","8.7","10.1","9","9.9","10.4","9.6","6.4","17.4","3.6","5.8","8.8","12.7","6.5","10.5","9.1","4.2","4.5","10.7","-5.9","-0.2","-3.6","-6.4","-8.5","-5","-3.8","-4.8","-1.8","-8.8","-1.8","-2.9","-7.2","-7.2","-9","-12.7"
"Nelson","","0.3","5.1","2.6","1.6","1.1","3","2.8","13","-14.8","-61.1","-62.4","-62.8","-59.9","-47.2","-41.5","-7.6","9.5","9.9","7","9.7","11.8","5.3","7.3","6.5","6.4","3.8","6.9","6.7","14.4","-0.6","0.4","1.3","1.4","3.9","6.6","1.8","1.6","-0.9","-0.7","-3.4","-4.5","-2.9","-5.3","-1.9","-3.1","-3.3","-5.9","-0.4","-9.4","-1.5","-1.6","-5.9","-8.2","-2","-12.6"
"Northland","","2.6","8.8","1.8","6.4","4.6","1.9","3.1","15","-9.5","-44.6","-46.9","-50.7","-51.8","-31.1","-24.7","-3.6","12.8","11.4","8.8","12.9","11.3","9.3","13.3","14","7.2","12.3","8.6","11","18.1","4.7","7.4","15.9","13.9","9.7","8.5","13.4","10.5","7.3","13.4","-1.7","-0.2","2.5","2.3","1","-1.5","1.3","2.3","6","1.1","6","4.6","-2.2","0.1","0.8","-6.9"
"Otago","","2.5","5.9","0.1","-2.1","2.1","-0.4","2.1","-0.2","-34.6","-60.3","-62.9","-63.9","-63.1","-49.5","-45.2","-20.7","-6.3","1","-3.7","1.4","-0.5","-2","-2.2","1.6","-0.1","-1.6","-4","-2.5","-3","-13.6","-11.6","-6","-3.3","-4.9","-5.4","-5.1","-4.4","-4.5","-0.9","-7.2","-11.7","-12","-14.9","-16.5","-17.1","-12.8","-14.2","-13","-15.6","-15.6","-16.8","-19.5","-19.1","-20.2","-25.1"
"Southland","","3.5","-2.8","-0.3","-1.6","2.3","3.1","2.6","9.5","-17.7","-46.9","-47.9","-50.9","-43.4","-36.5","-27.7","-3.9","10.1","2.9","6.7","8.6","9.8","6.4","3","3.1","5.5","4.9","2.6","4","11.1","1.2","-2.2","-0.6","-2.9","-3.7","-1.9","-5.5","-0.3","-1.1","2.5","-3.2","-4.7","-3.9","-5.6","-4.3","-5.6","-3.8","-7","0.7","-9.4","-8.9","-8","-10.3","-9.1","-1.7","-10.2"
"Taranaki","","8.6","5.8","0.4","4.2","5.3","3.7","6.2","15.5","-15.6","-48.5","-48.9","-51.9","-47.3","-34.5","-30.6","-3.7","8.6","9","5.3","10.3","7.2","6.7","5.9","7.3","7.2","8.6","6.1","8.5","17.4","2.2","4.2","5.5","6.8","6","5.4","7.8","4.8","4.7","8.8","0.1","3.5","2.4","1.6","-3.4","-0.8","-1","0.8","5.1","0.3","5.8","3.2","-1.5","4.3","0.6","-3.8"
"Tasman","","0.2","5.5","2.3","2.4","4.7","7.6","9.9","22.6","-15.2","-40.4","-44.8","-44.5","-43.1","-29.2","-22.2","-5.7","6.5","7.9","6.6","10.6","10.3","7.6","5.4","9.9","12.5","5.7","6.5","7.4","17.2","0.3","3.6","6","7.4","7","6.6","7.2","6.4","4.5","4.4","0.1","-4.4","1.6","-3.5","-1.9","0.2","-1.3","-2.2","0.1","-3.7","0.7","1","-4.2","-2.2","-0.8","-7.3"
"Waikato","","1.4","4.2","0.5","3.1","3.1","2.1","2.1","9.8","-21.5","-53.2","-54.9","-57.4","-56.6","-39.3","-34.9","-6","7.1","8.6","2.4","5.6","2.6","4.6","7.2","8.4","7.7","6","5.6","6.8","13.5","-2.8","-0.4","7","6","1.4","2.9","7.6","5.8","3.3","7.7","-3.2","-4.3","-0.4","-0.7","-2.8","-4.4","-1.6","-2.8","0.3","-3","0.7","-0.3","-7.4","0.7","-1.4","-7.1"
"Wellington","","0.4","3.4","3.2","1","0.6","3.3","4.7","13.3","-23.5","-52.4","-53.5","-53.8","-50.7","-43.2","-40","-14.5","-0.4","0.2","-0.1","4.4","-0.6","2.1","1.8","2.3","4.7","3.2","1.1","2","10.7","-4.9","-2.6","0.7","0","1.3","-2.4","1","1.1","-1.9","2.1","-2","-2.9","-1.1","-1.1","-3","-4.5","-3","-2.4","0.1","-5","-4.5","-1.9","-3.1","-2.7","-4","-6"
"West Coast","","2.8","-1.4","-0.9","-0.7","5.6","5.1","5.9","11.5","-13.3","-42","-43.8","-53.5","-56.7","-30.4","-25.5","-4.6","4.4","25.6","3.8","11.9","10.9","10.1","6.9","12.9","19.7","4.9","5.3","8.5","17.8","2.4","4.2","1.5","3.1","0.1","2.1","4.7","0.9","-2.1","6.1","-9.8","-8.6","0.7","-15.5","-15.2","-9.5","-2.1","-2","-11.9","-7.5","-10.7","-12.1","-22.5","-12.3","-9","-19.9"